,Nome,URL,Lancamento,Av. Usuario,Av. Critica
0,Warhammer Age of Sigmar: Tempestfall,/game/pc/warhammer-age-of-sigmar-tempestfall,"November 17, 2021",tbd,tbd
1,Motor Mechanic,/game/pc/motor-mechanic,"November 17, 2021",tbd,tbd
2,That Flipping Mountain,/game/pc/that-flipping-mountain,"November 17, 2021",tbd,tbd
3,Arcadia Fallen,/game/pc/arcadia-fallen,"November 17, 2021",tbd,tbd
4,BALROG,/game/pc/balrog,"November 17, 2021",tbd,tbd
5,Pangea,/game/pc/pangea,"November 17, 2021",tbd,tbd
6,Blub Emporium,/game/pc/blub-emporium,"November 17, 2021",tbd,tbd
7,Wandering Trails: A Hiking Game,/game/pc/wandering-trails-a-hiking-game,"November 17, 2021",tbd,tbd
8,Next Space Rebels,/game/pc/next-space-rebels,"November 17, 2021",tbd,tbd
9,Legend of Labot: The Golden Pearl,/game/pc/legend-of-labot-the-golden-pearl,"November 17, 2021",tbd,tbd
10,Echo - An Indie Tale,/game/pc/echo---an-indie-tale,"November 17, 2021",tbd,tbd
11,The Jewel of Monostructure,/game/pc/the-jewel-of-monostructure,"November 17, 2021",tbd,tbd
12,Pornocrates: Osiris's Seed,/game/pc/pornocrates-osiriss-seed,"November 17, 2021",tbd,tbd
13,Darius Cozmic Collection: Arcade,/game/pc/darius-cozmic-collection-arcade,"November 17, 2021",tbd,tbd
14,Find The Murderer,/game/pc/find-the-murderer,"November 17, 2021",tbd,tbd
15,Hardwork Simulator,/game/pc/hardwork-simulator,"November 17, 2021",tbd,tbd
16,BOT.vinnik Chess: Mid-Century USSR Championships,/game/pc/botvinnik-chess-mid-century-ussr-championships,"November 17, 2021",tbd,tbd
17,Chronicles of Deeps,/game/pc/chronicles-of-deeps,"November 17, 2021",tbd,tbd
18,Kirkileons,/game/pc/kirkileons,"November 17, 2021",tbd,tbd
19,Slime Escape,/game/pc/slime-escape,"November 17, 2021",tbd,tbd
20,Roll The Cat,/game/pc/roll-the-cat,"November 17, 2021",tbd,tbd
21,The Five Covens,/game/pc/the-five-covens,"November 17, 2021",tbd,tbd
22,Cats War,/game/pc/cats-war,"November 17, 2021",tbd,tbd
23,World Tree,/game/pc/world-tree,"November 17, 2021",tbd,tbd
24,A Hot Springs Vacation with my Married Office Lady Superior,/game/pc/a-hot-springs-vacation-with-my-married-office-lady-superior,"November 17, 2021",tbd,tbd
25,Chao's Collection of Random Games,/game/pc/chaos-collection-of-random-games,"November 17, 2021",tbd,tbd
26,Maverta City,/game/pc/maverta-city,"November 17, 2021",tbd,tbd
27,Poly Puzzle: Cats,/game/pc/poly-puzzle-cats,"November 17, 2021",tbd,tbd
28,How To Bathe Your Cat: Drawing,/game/pc/how-to-bathe-your-cat-drawing,"November 17, 2021",tbd,tbd
29,Pumpkin Eater,/game/pc/pumpkin-eater,"November 17, 2021",tbd,tbd
30,Jolt Project,/game/pc/jolt-project,"November 17, 2021",tbd,tbd
31,Blox 3D World,/game/pc/blox-3d-world,"November 17, 2021",tbd,tbd
32,Being Left The **** Alone Simulator,/game/pc/being-left-the-alone-simulator,"November 17, 2021",tbd,tbd
33,Lawnmower Game: Pinball,/game/pc/lawnmower-game-pinball,"November 17, 2021",tbd,tbd
34,Purvis Beer VR,/game/pc/purvis-beer-vr,"November 17, 2021",tbd,tbd
35,Key,/game/pc/key,"November 17, 2021",tbd,tbd
36,Tep The Destroyer,/game/pc/tep-the-destroyer,"November 17, 2021",tbd,tbd
37,69 Moriko Love,/game/pc/69-moriko-love,"November 17, 2021",tbd,tbd
38,Underwater World,/game/pc/underwater-world,"November 17, 2021",tbd,tbd
39,Color Ball,/game/pc/color-ball,"November 17, 2021",tbd,tbd
40,Perfect Date,/game/pc/perfect-date,"November 17, 2021",tbd,tbd
41,Ruined King: A League of Legends Story,/game/pc/ruined-king-a-league-of-legends-story,"November 16, 2021",7.5,tbd
42,Hammerting,/game/pc/hammerting,"November 16, 2021",tbd,tbd
43,CountryBalls Heroes,/game/pc/countryballs-heroes,"November 16, 2021",tbd,tbd
44,Ollie-Oop,/game/pc/ollie-oop,"November 16, 2021",tbd,tbd
45,Unsouled,/game/pc/unsouled,"November 16, 2021",tbd,tbd
46,The Last Stand: Aftermath,/game/pc/the-last-stand-aftermath,"November 16, 2021",tbd,tbd
47,Sherlock Holmes: Chapter One,/game/pc/sherlock-holmes-chapter-one,"November 16, 2021",2.0,78
48,SimCasino,/game/pc/simcasino,"November 16, 2021",tbd,tbd
49,StarCrawlers Chimera,/game/pc/starcrawlers-chimera,"November 16, 2021",tbd,tbd
50,Tavern Master,/game/pc/tavern-master,"November 16, 2021",tbd,tbd
51,Combat Mission Cold War,/game/pc/combat-mission-cold-war,"November 16, 2021",tbd,tbd
52,Marsupilami: Hoobadventure,/game/pc/marsupilami-hoobadventure,"November 16, 2021",tbd,tbd
53,Nightwalker 2,/game/pc/nightwalker-2,"November 16, 2021",tbd,tbd
54,Furry Shakespeare: To Date Or Not To Date Spooky Cat Girls?,/game/pc/furry-shakespeare-to-date-or-not-to-date-spooky-cat-girls,"November 16, 2021",tbd,tbd
55,Grow: Song of the Evertree,/game/pc/grow-song-of-the-evertree,"November 16, 2021",tbd,81
56,Signals,/game/pc/signals,"November 16, 2021",tbd,tbd
57,Ball Heros,/game/pc/ball-heros,"November 16, 2021",tbd,tbd
58,Rob Riches,/game/pc/rob-riches,"November 16, 2021",tbd,tbd
59,Wadality,/game/pc/wadality,"November 16, 2021",tbd,tbd
60,QUICKDRAW,/game/pc/quickdraw,"November 16, 2021",tbd,tbd
61,Horses and Girls,/game/pc/horses-and-girls,"November 16, 2021",tbd,tbd
62,Pro Basketball Manager 2022,/game/pc/pro-basketball-manager-2022,"November 16, 2021",tbd,tbd
63,Willage,/game/pc/willage,"November 16, 2021",tbd,tbd
64,SUPER ICK,/game/pc/super-ick,"November 16, 2021",tbd,tbd
65,Chaos Uproar,/game/pc/chaos-uproar,"November 16, 2021",tbd,tbd
66,BLUE WISH DESIRE,/game/pc/blue-wish-desire,"November 16, 2021",tbd,tbd
67,Xangel,/game/pc/xangel,"November 16, 2021",tbd,tbd
68,The Glade,/game/pc/the-glade,"November 16, 2021",tbd,tbd
69,Mistrun,/game/pc/mistrun,"November 16, 2021",tbd,tbd
70,SPOOKWARE: Watch Party,/game/pc/spookware-watch-party,"November 16, 2021",tbd,tbd
71,MyJapaneseTeacher,/game/pc/myjapaneseteacher,"November 16, 2021",tbd,tbd
72,Kingdom: Two Crowns - Norse Lands,/game/pc/kingdom-two-crowns---norse-lands,"November 16, 2021",tbd,tbd
73,phoToq,/game/pc/photoq,"November 16, 2021",tbd,tbd
74,THE SPRITE TRIALS,/game/pc/the-sprite-trials,"November 16, 2021",tbd,tbd
75,Jumping Man: Mine,/game/pc/jumping-man-mine,"November 16, 2021",tbd,tbd
76,Destruction of planets,/game/pc/destruction-of-planets,"November 16, 2021",tbd,tbd
77,Hot Milf 2,/game/pc/hot-milf-2,"November 16, 2021",tbd,tbd
78,Treasure of Nadia,/game/pc/treasure-of-nadia,"November 16, 2021",tbd,tbd
79,Space Waves,/game/pc/space-waves,"November 16, 2021",tbd,tbd
80,Neo Spectrum,/game/pc/neo-spectrum,"November 16, 2021",tbd,tbd
81,Slot Factory Create and Play - Magic Brewery,/game/pc/slot-factory-create-and-play---magic-brewery,"November 16, 2021",tbd,tbd
82,Hextech Mayhem: A League of Legends Story,/game/pc/hextech-mayhem-a-league-of-legends-story,"November 16, 2021",tbd,tbd
83,Far Cry 6 - Vaas: Insanity,/game/pc/far-cry-6---vaas-insanity,"November 16, 2021",tbd,78
84,Guardian of the future,/game/pc/guardian-of-the-future,"November 15, 2021",tbd,tbd
85,Moncage,/game/pc/moncage,"November 15, 2021",tbd,tbd
86,Urge,/game/pc/urge,"November 15, 2021",tbd,tbd
87,Splash Cars,/game/pc/splash-cars,"November 15, 2021",tbd,tbd
88,Aruna,/game/pc/aruna,"November 15, 2021",tbd,tbd
89,Darkzone: Idle RPG,/game/pc/darkzone-idle-rpg,"November 15, 2021",tbd,tbd
90,Physics World,/game/pc/physics-world,"November 15, 2021",tbd,tbd
91,Acquiescence,/game/pc/acquiescence,"November 15, 2021",tbd,tbd
92,Demon Sighting,/game/pc/demon-sighting,"November 15, 2021",tbd,tbd
93,Pack of Demons,/game/pc/pack-of-demons,"November 15, 2021",tbd,tbd
94,Chaos Brigade,/game/pc/chaos-brigade,"November 15, 2021",tbd,tbd
95,Door3:Insignia,/game/pc/door3insignia,"November 15, 2021",tbd,tbd
96,A=B,/game/pc/ab,"November 15, 2021",tbd,tbd
97,Facility,/game/pc/facility,"November 15, 2021",tbd,tbd
98,Pro Soccer Online,/game/pc/pro-soccer-online,"November 15, 2021",tbd,tbd
99,Into The Abyss,/game/pc/into-the-abyss,"November 15, 2021",tbd,tbd
100,Tomb Keeper Mansion Deluxe Pinball,/game/pc/tomb-keeper-mansion-deluxe-pinball,"November 15, 2021",tbd,tbd
101,Math+Sticks - Coffee Break Club,/game/pc/math+sticks---coffee-break-club,"November 15, 2021",tbd,tbd
102,Alchera,/game/pc/alchera,"November 15, 2021",tbd,tbd
103,Dino Cub,/game/pc/dino-cub,"November 15, 2021",tbd,tbd
104,Rorys Restaurant: Winter Rush,/game/pc/rorys-restaurant-winter-rush,"November 15, 2021",tbd,tbd
105,Serious Breakdown,/game/pc/serious-breakdown,"November 15, 2021",tbd,tbd
106,Brick Love,/game/pc/brick-love,"November 15, 2021",tbd,tbd
107,WOLF RIOT,/game/pc/wolf-riot,"November 15, 2021",tbd,tbd
108,T**Tok Girls,/game/pc/ttok-girls,"November 15, 2021",tbd,tbd
109,SpaceGaze,/game/pc/spacegaze,"November 15, 2021",tbd,tbd
110,DIM-EGION,/game/pc/dim-egion,"November 15, 2021",tbd,tbd
111,The Vellescian Gambit,/game/pc/the-vellescian-gambit,"November 15, 2021",tbd,tbd
112,100 hidden frogs,/game/pc/100-hidden-frogs,"November 15, 2021",tbd,tbd
113,Gobby McGobblenutz Presents: The Art of the Dad Joke: Chapter 1,/game/pc/gobby-mcgobblenutz-presents-the-art-of-the-dad-joke-chapter-1,"November 15, 2021",tbd,tbd
114,Mirror fruit,/game/pc/mirror-fruit,"November 15, 2021",tbd,tbd
115,Five dreams,/game/pc/five-dreams,"November 15, 2021",tbd,tbd
116,Laserboy,/game/pc/laserboy,"November 15, 2021",tbd,tbd
117,Sakura Forest Girls 3,/game/pc/sakura-forest-girls-3,"November 15, 2021",tbd,tbd
118,Escape Logan Estate,/game/pc/escape-logan-estate,"November 15, 2021",tbd,tbd
119,I Told You So!,/game/pc/i-told-you-so!,"November 15, 2021",tbd,tbd
120,Mermaid Adventure: The Frozen Time,/game/pc/mermaid-adventure-the-frozen-time,"November 15, 2021",tbd,tbd
121,Noara - The Conspiracy,/game/pc/noara---the-conspiracy,"November 14, 2021",tbd,tbd
122,Prototype Blocks,/game/pc/prototype-blocks,"November 14, 2021",tbd,tbd
123,Remy Raccoon and the Lost Temple - Festive Frolics (Volume 1),/game/pc/remy-raccoon-and-the-lost-temple---festive-frolics-volume-1,"November 14, 2021",tbd,tbd
124,Imitating Zombies,/game/pc/imitating-zombies,"November 14, 2021",tbd,tbd
125,Consume Thy Flesh: The Pumpkin Smashing Sim,/game/pc/consume-thy-flesh-the-pumpkin-smashing-sim,"November 14, 2021",tbd,tbd
126,Kupechestvo,/game/pc/kupechestvo,"November 14, 2021",tbd,tbd
127,Card Game Simulator,/game/pc/card-game-simulator,"November 14, 2021",tbd,tbd
128,Only Mine,/game/pc/only-mine,"November 14, 2021",tbd,tbd
129,dig,/game/pc/dig,"November 14, 2021",tbd,tbd
130,Solaris Rift,/game/pc/solaris-rift,"November 14, 2021",tbd,tbd
131,Space Rocks Blaster,/game/pc/space-rocks-blaster,"November 14, 2021",tbd,tbd
132,SEARCH ALL - CANDY,/game/pc/search-all---candy,"November 14, 2021",tbd,tbd
133,Breakdown (QuickBobber),/game/pc/breakdown-quickbobber,"November 14, 2021",tbd,tbd
134,Gedel Escape,/game/pc/gedel-escape,"November 13, 2021",tbd,tbd
135,Cards of Patience,/game/pc/cards-of-patience,"November 13, 2021",tbd,tbd
136,FURRY SEX: Cabaret,/game/pc/furry-sex-cabaret,"November 13, 2021",tbd,tbd
137,Faded Memories: Video Game Edition,/game/pc/faded-memories-video-game-edition,"November 13, 2021",tbd,tbd
138,Mysterious Night (The First Night),/game/pc/mysterious-night-the-first-night,"November 13, 2021",tbd,tbd
139,Nailed It,/game/pc/nailed-it,"November 13, 2021",tbd,tbd
140,Comixxx Duality,/game/pc/comixxx-duality,"November 13, 2021",tbd,tbd
141,Hide and seek with Flandre,/game/pc/hide-and-seek-with-flandre,"November 13, 2021",tbd,tbd
142,Patchwork: Explore the World,/game/pc/patchwork-explore-the-world,"November 13, 2021",tbd,tbd
143,Alchemic Cutie,/game/pc/alchemic-cutie,"November 12, 2021",tbd,tbd
144,Crisp Cube,/game/pc/crisp-cube,"November 12, 2021",tbd,tbd
145,Gravitators,/game/pc/gravitators,"November 12, 2021",tbd,tbd
146,the Sequence [2],/game/pc/the-sequence-2,"November 12, 2021",tbd,tbd
147,Fox Girls Never Play Dirty,/game/pc/fox-girls-never-play-dirty,"November 12, 2021",tbd,tbd
148,Gigapocalypse,/game/pc/gigapocalypse,"November 12, 2021",tbd,tbd
149,Lovely Planet Remix,/game/pc/lovely-planet-remix,"November 12, 2021",tbd,tbd
150,La Porte des Fauconniers : Guerre Medievale,/game/pc/la-porte-des-fauconniers-guerre-medievale,"November 12, 2021",tbd,tbd
151,JUNKPUNK,/game/pc/junkpunk,"November 12, 2021",tbd,tbd
152,Pazing By,/game/pc/pazing-by,"November 12, 2021",tbd,tbd
153,Battlefield 2042,/game/pc/battlefield-2042,"November 12, 2021",2.5,76
154,"Run, Kitty!",/game/pc/run-kitty!,"November 12, 2021",tbd,tbd
155,Wild West Z,/game/pc/wild-west-z,"November 12, 2021",tbd,tbd
156,Chronicles of Sarval: Bridges of Koni,/game/pc/chronicles-of-sarval-bridges-of-koni,"November 12, 2021",tbd,tbd
157,My Furry Detective,/game/pc/my-furry-detective,"November 12, 2021",tbd,tbd
158,City Zoomer,/game/pc/city-zoomer,"November 12, 2021",tbd,tbd
159,Megacraft Hotspot Royale,/game/pc/megacraft-hotspot-royale,"November 12, 2021",tbd,tbd
160,Island Crusaders,/game/pc/island-crusaders,"November 12, 2021",tbd,tbd
161,TrapBot,/game/pc/trapbot,"November 12, 2021",tbd,tbd
162,[International] Absented Age: Squarebound,/game/pc/international-absented-age-squarebound,"November 12, 2021",tbd,tbd
163,Edwardo,/game/pc/edwardo,"November 12, 2021",tbd,tbd
164,Squid Run,/game/pc/squid-run,"November 12, 2021",tbd,tbd
165,DayDream Mosaics 2: Juliette's Tale,/game/pc/daydream-mosaics-2-juliettes-tale,"November 12, 2021",tbd,tbd
166,LOST BUBBLES: Sweet mates,/game/pc/lost-bubbles-sweet-mates,"November 12, 2021",tbd,tbd
167,Sex Clicker,/game/pc/sex-clicker,"November 12, 2021",tbd,tbd
168,Tale of six,/game/pc/tale-of-six,"November 12, 2021",tbd,tbd
169,Resonance Wars,/game/pc/resonance-wars,"November 12, 2021",tbd,tbd
170,PLEASE COMPLY,/game/pc/please-comply,"November 12, 2021",tbd,tbd
171,Punch It Deluxe,/game/pc/punch-it-deluxe,"November 12, 2021",tbd,tbd
172,Girl of Fighting Nations,/game/pc/girl-of-fighting-nations,"November 12, 2021",tbd,tbd
173,Jump Movement,/game/pc/jump-movement,"November 12, 2021",tbd,tbd
174,Arcade Galaxy,/game/pc/arcade-galaxy,"November 12, 2021",tbd,tbd
175,MONSTER X,/game/pc/monster-x,"November 12, 2021",tbd,tbd
176,Reborn Tribe,/game/pc/reborn-tribe,"November 12, 2021",tbd,tbd
177,Date of death: origin,/game/pc/date-of-death-origin,"November 12, 2021",tbd,tbd
178,OtherSoul,/game/pc/othersoul,"November 12, 2021",tbd,tbd
179,Squid Survival,/game/pc/squid-survival,"November 12, 2021",tbd,tbd
180,Honor Douluo,/game/pc/honor-douluo,"November 12, 2021",tbd,tbd
181,Anime Jigsaw Girls - Christmas,/game/pc/anime-jigsaw-girls---christmas,"November 12, 2021",tbd,tbd
182,Bright Memory: Infinite,/game/pc/bright-memory-infinite,"November 11, 2021",7.2,67
183,Grand Theft Auto: The Trilogy - The Definitive Edition,/game/pc/grand-theft-auto-the-trilogy---the-definitive-edition,"November 11, 2021",0.5,tbd
184,SAD RPG: A Social Anxiety Role Playing Game,/game/pc/sad-rpg-a-social-anxiety-role-playing-game,"November 11, 2021",tbd,tbd
185,Smintheus,/game/pc/smintheus,"November 11, 2021",tbd,tbd
186,Hats and Hand Grenades,/game/pc/hats-and-hand-grenades,"November 11, 2021",tbd,tbd
187,Kainga,/game/pc/kainga,"November 11, 2021",tbd,tbd
188,House Builder,/game/pc/house-builder,"November 11, 2021",tbd,tbd
189,Epic Chef,/game/pc/epic-chef,"November 11, 2021",tbd,tbd
190,Gravitational,/game/pc/gravitational,"November 11, 2021",tbd,tbd
191,Captain Toonhead vs the Punks from Outer Space,/game/pc/captain-toonhead-vs-the-punks-from-outer-space,"November 11, 2021",tbd,tbd
192,A Pretty Odd Bunny,/game/pc/a-pretty-odd-bunny,"November 11, 2021",tbd,tbd
193,Slice of Sea,/game/pc/slice-of-sea,"November 11, 2021",tbd,tbd
194,Hyper Echelon,/game/pc/hyper-echelon,"November 11, 2021",tbd,tbd
195,Siege the Day,/game/pc/siege-the-day,"November 11, 2021",tbd,tbd
196,Suspects: Mystery Mansion,/game/pc/suspects-mystery-mansion,"November 11, 2021",tbd,tbd
197,Killer in the cabin,/game/pc/killer-in-the-cabin,"November 11, 2021",tbd,tbd
198,Punk Wars,/game/pc/punk-wars,"November 11, 2021",tbd,tbd
199,Mage Mountain,/game/pc/mage-mountain,"November 11, 2021",tbd,tbd
